ID,NAME,GENERIC_NAME,COMPANY_NAME,SHORT_DESCRIPTION,PRICE,LONG_DESCRIPTION,IN_STOCK
1,HYZAAR,losartan potassium and hydrochlorothiazide,"PD-Rx Pharmaceuticals, Inc.","Complete physeal arrest, left distal femur",356,"Complete physeal arrest, left distal femur",false
2,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,McKesson Contract Packaging,Other air transport accident involving military aircraft,33,Other air transport accident involving military aircraft,true
3,Mattifying Tonic,Salicylic Acid,JAFRA COSMETICS INTERNATIONAL,"Contact with other commercial machinery, subs encntr",184,"Contact with other commercial machinery, subsequent encounter",false
4,Winning Hands Antibacterial,Tricolsan,"Betco Corporation, Ltd.",Fracture of superior rim of unspecified pubis,60,Fracture of superior rim of unspecified pubis,true
5,Sisal,Sisal,"Nelco Laboratories, Inc.","Disp fx of posterior wall of unspecified acetabulum, sequela",452,"Displaced fracture of posterior wall of unspecified acetabulum, sequela",false
6,Rasuvo,methotrexate,"Medac Pharma, Inc","Unsp physl fx lower end of l fibula, subs for fx w nonunion",14,"Unspecified physeal fracture of lower end of left fibula, subsequent encounter for fracture with nonunion",true
7,Metronidazole,Metronidazole,Cardinal Health,"Strain extn musc/fasc/tend r idx fngr at wrs/hnd lv, init",480,"Strain of extensor muscle, fascia and tendon of right index finger at wrist and hand level, initial encounter",false
8,Ceftriaxone Sodium,Ceftriaxone Sodium,"Physicians Total Care, Inc.","Inj musc/fasc/tend at shldr/up arm, left arm, subs",392,"Other injury of other muscles, fascia and tendons at shoulder and upper arm level, left arm, subsequent encounter",false
9,Sheep Sorrel,Sheep Sorrel,"Nelco Laboratories, Inc.",Mumps,161,Mumps,false
10,Laxative Pills,Sennosides,"Premier Value (Chain Drug Consortium, LLC)","Unsp fracture of fourth metacarpal bone, right hand, sequela",313,"Unspecified fracture of fourth metacarpal bone, right hand, sequela",false
11,Cymbalta,Duloxetine hydrochloride,"Physicians Total Care, Inc.","Maternal care for fetal problem, unsp, second tri, fetus 1",430,"Maternal care for fetal problem, unspecified, second trimester, fetus 1",true
12,Acetaminophen and Codeine Phosphate,Acetaminophen and Codeine Phosphate,Ranbaxy Pharmaceuticals Inc.,Epigastric abdominal rigidity,529,Epigastric abdominal rigidity,false
13,Hydration,"Aloe socotrine, Apis mellifica, Avena sativa, Carbo vegetabilis, Equisetum hyemale, Gelsemium sempervirens, Pulsatilla, Selenium metallicum, Taraxacum officinale",King Bio Inc.,"Burn of first degree of unsp toe(s) (nail), subs encntr",530,"Burn of first degree of unspecified toe(s) (nail), subsequent encounter",false
14,Isosorbide Dinitrate,isosorbide dinitrate,Par Pharmaceutical Inc.,Non-prs chronic ulc unsp prt of unsp lower leg w necros bone,72,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with necrosis of bone,true
15,Topiramate,Topiramate,"Glenmark Generics Inc., USA",Personal history of malig neoplasm of female genital organs,397,Personal history of malignant neoplasm of other female genital organs,true
16,GFS BIOPROTECT HAND SANITIZER ALOE VERA,BENZALKONIUM CHLORIDE,GFS US LLC,"Traum hemor cereb, w LOC w dth d/t brain inj bf consc, init",288,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",false
17,Scott,Alcohol,Kimberly-Clark Corporation,"Nondisp fx of dist phalanx of l great toe, 7thP",287,"Nondisplaced fracture of distal phalanx of left great toe, subsequent encounter for fracture with malunion",true
18,Strain Pain Relieving Cream,"Menthol, Camphor, Methyl Salicylate",International Nature Nutraceuticals,Cicatricial entropion of right upper eyelid,347,Cicatricial entropion of right upper eyelid,false
19,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,Wockhardt Limited,"Obesity complicating pregnancy, third trimester",454,"Obesity complicating pregnancy, third trimester",false
20,Kiss My Face - Oat Protein Complex SPF 18,"TITANIUM DIOXIDE, ZINC OXIDE",Kiss My Face Corp.,"Toxic effect of venom of scorpion, assault",476,"Toxic effect of venom of scorpion, assault",false
21,Webb Candy,Peppermint Candy Cane Lip Balm,Webb Candy,"Oth traum nondisp spondylolysis of 5th cervcal vert, 7thB",529,"Other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",false
22,Simcor,Niacin and Simvastatin,AbbVie Inc.,"Burn of second degree of unspecified thigh, init encntr",469,"Burn of second degree of unspecified thigh, initial encounter",true
23,Cefazolin,Cefazolin,"General Injectables & Vaccines, Inc","Otitis media in diseases classified elsewhere, bilateral",591,"Otitis media in diseases classified elsewhere, bilateral",false
24,DG Body,Benzalkonium chloride,"Dolgencorp, LLC","Other superficial bite of unspecified great toe, subs encntr",296,"Other superficial bite of unspecified great toe, subsequent encounter",true
25,Nupercainal Bio-Active Hemorrhoidal,"Echinacea purpurea, Centella asiatica, and Sambucus nigra flowering top",Ducere Pharma,"Traum rupture of ligmt of l little finger at MCP/IP jt, subs",203,"Traumatic rupture of other ligament of left little finger at metacarpophalangeal and interphalangeal joint, subsequent encounter",false
26,Tacrolimus,Tacrolimus,Strides Arcolab Limited,Injury of accessory nerve,582,Injury of accessory nerve,true
